,w1,w2,sim
318,Africa,soul,0.20903308082707694
319,Africa,sound,0.14130205200527582
320,Africa,space,0.12998002576265172
321,Africa,spell,0.1058275208544653
322,Africa,spider,0.2651649834472721
323,Africa,spike,0.12954579076567532
324,Africa,spine,0.10573910032247495
325,Africa,spot,0.1382417974436439
326,Africa,spring,0.11457150090572134
327,Africa,spy,0.19599273144472434
328,Africa,square,0.13226243002379445
329,Africa,stadium,0.19010813929792938
330,Africa,staff,0.06756500304835791
331,Africa,star,0.1679736504030792
332,Africa,state,0.17886336014673235
333,Africa,stick,0.16357785673245334
334,Africa,stock,0.14193078379028304
335,Africa,straw,0.11438402635138158
336,Africa,stream,0.15999617592061366
337,Africa,strike,0.17130319377148046
338,Africa,string,0.07901000098685076
339,Africa,sub,0.12468757376073215
340,Africa,suit,0.14789372290171018
341,Africa,swing,0.15267220442066487
342,Africa,switch,0.04507031171441056
343,Africa,table,0.14848955117059104
344,Africa,tablet,0.1834030909875004
345,Africa,tag,0.2140995549686128
346,Africa,tail,0.12665699297844413
347,Africa,tap,0.10340370681180554
348,Africa,teacher,0.16668680743389425
349,Africa,telescope,0.1239263400608601
350,Africa,temple,0.19670715114353748
351,Africa,theater,0.11754232443904133
352,Africa,thief,0.1307848984677872
353,Africa,thumb,0.17894202510027962
354,Africa,tick,0.2123006043559505
355,Africa,tie,0.08901682092731988
356,Africa,time,0.1475800281783521
357,Africa,Tokyo,0.42821727691357536
358,Africa,tooth,0.14678821045156007
359,Africa,torch,0.1811799530496502
360,Africa,tower,0.1785766365639997
361,Africa,track,0.09260149718709856
362,Africa,train,0.1607913171562725
363,Africa,triangle,0.1997991062628467
364,Africa,trip,0.2094009668181245
365,Africa,trunk,0.1211881453041088
366,Africa,tube,0.21656678661247514
367,Africa,turkey,0.3083799557432905
368,Africa,undertaker,0.09682941327895163
369,Africa,unicorn,0.18151121091097988
370,Africa,vacuum,0.168571267220717
371,Africa,van,0.15533057558006969
372,Africa,wake,0.15852300506021222
373,Africa,wall,0.19102809692460035
374,Africa,war,0.3077634857452975
375,Africa,washer,0.14151357785253452
376,Africa,Washington,0.4754600912094654
377,Africa,watch,0.22224964836700334
378,Africa,water,0.22587861344518545
379,Africa,wave,0.19013792888452988
380,Africa,web,0.2451964240536655
381,Africa,well,0.16523639037413068
382,Africa,whale,0.26722981395297574
383,Africa,whip,0.08336143147903746
